Old,New,Comment
--semantic-size-component-xl,--semantic-size-component-2000
--semantic-size-component-xs,--semantic-size-component-800
--semantic-size-content-2xl,
--semantic-size-content-xl,
--semantic-size-content-xs,
--semantic-spacing-content-m-gap-contained,--semantic-gap-horizontal-content-contained-m
--semantic-spacing-content-m-gap-plain,--semantic-gap-horizontal-content-plain-m
--semantic-spacing-content-s-gap-contained,--semantic-gap-horizontal-content-contained-s
--semantic-spacing-content-s-gap-plain,--semantic-gap-horizontal-content-plain-s
--semantic-spacing-dynamic-l-100,--semantic-gap-all-linear-100
--semantic-spacing-dynamic-l-1200,--semantic-gap-all-linear-1200
--semantic-spacing-dynamic-l-1400,--semantic-gap-all-linear-1400
--semantic-spacing-dynamic-l-1600,--semantic-gap-all-linear-1600
--semantic-spacing-dynamic-l-200,--semantic-gap-all-linear-200
--semantic-spacing-dynamic-l-2400,--semantic-gap-all-linear-2400
--semantic-spacing-dynamic-l-300,--semantic-gap-all-linear-300
--semantic-spacing-dynamic-l-400,--semantic-gap-all-linear-400
--semantic-spacing-dynamic-l-600,--semantic-gap-all-linear-600
--semantic-spacing-dynamic-l-800,--semantic-gap-all-linear-800
--semantic-spacing-dynamic-m-100,--semantic-gap-all-linear-100
--semantic-spacing-dynamic-m-1200,--semantic-gap-all-linear-1200
--semantic-spacing-dynamic-m-1400,--semantic-gap-all-linear-1400
--semantic-spacing-dynamic-m-1600,--semantic-gap-all-linear-1600
--semantic-spacing-dynamic-m-200,--semantic-gap-all-linear-200
--semantic-spacing-dynamic-m-2400,--semantic-gap-all-linear-2400
--semantic-spacing-dynamic-m-300,--semantic-gap-all-linear-300
--semantic-spacing-dynamic-m-400,--semantic-gap-all-linear-400
--semantic-spacing-dynamic-m-600,--semantic-gap-all-linear-600
--semantic-spacing-dynamic-m-800,--semantic-gap-all-linear-800
--semantic-spacing-dynamic-s-100,--semantic-gap-all-linear-100
--semantic-spacing-dynamic-s-1200,--semantic-gap-all-linear-1200
--semantic-spacing-dynamic-s-1400,--semantic-gap-all-linear-1400
--semantic-spacing-dynamic-s-1600,--semantic-gap-all-linear-1600
